,No.,Material,Part Name,Storage Bin,Tact,Rack Number,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,Verify By,Remark,
,489,4M0915429A,TERMINAL COVER,T5-56,05 RHS,25,66,,,,,,,,,,Verified,FAIZ,,
,490,N  90761103,PREV.TORQUE TYPE HEX.NUT W.FLANGE,T5-55,05 RHS,25,13,,,,,,,,,,Verified,FAIZ,,
,491,N  10124309,HEXALOBULAR SOCKET PAN HEAD SCREW,T5-54,05 RHS,25,76,,,,,,,,,,Verified,FAIZ,,
,492,4M0035399P,LOUDSPEAKER,T5-58,05 RHS,25,15,9,,,,,,,,,Verified,FAIZ,,
,493,4M0864472B,"SUPPORT,LINING",T5-59,05 RHS,25,30,,,,,,,,,,Verified,FAIZ,,
,494,8W9868954  4PK,TANG,T5-66,05 RHS,25,50,,,,,,,,,,Verified,FAIZ,,
,495,N  10609201,HEXAGON FLANGE NUT,T5-68,05 RHS,25,659,,,,,,,,,,Verified,FAIZ,,
,496,4G0819210L6PS,VENT,T5-62,05 RHS,25,29,,,,,,,,,,Verified,FAIZ,,
,498,4M0955985A,SPRAY NOZZLE,T5-70,05 RHS,25,45,,,,,,,,,,Verified,FAIZ,,
,499,4K9955205,CAP,T5-69,05 RHS,25,19,,,,,,,,,,Verified,FAIZ,,
,500,4M0955405C 1P9,WIPER LEVER,T5-67,05 RHS,25,14,,,,,,,,,,Verified,FAIZ,,
,501,4M08571864PK,TRIM,T5-65,05 RHS,25,76,,,,,,,,,,Verified,FAIZ,,
,502,N  0150821,HEXAGON FLANGE NUT,T5-32,05 RHS,25,73,169,,,,,,,,,Verified,FAIZ,,Wrong partno in system. Actual at rack N 01508210. Missing 0 at the end. 
,503,N  10718801,HEXAGON FLANGE BOLT,T5-33,05 RHS,25,0,,,,,,,,,,Counted,,,Barang tiada. Counter insert 0. Tp Verifier tak boleh nak click verify. 
,504,N  10719101,HEXAGON FLANGE BOL T,T5-34,05 RHS,25,78,10,,,,,,,,,Verified,FAIZ,,
,505,4M0971227DB,"HARNESS,BATTERY",T5-35,05 RHS,25,5,4,4,,,,,,,,Verified,FAIZ,,
,506,4M0915351,ANGLE BRACKET,T5-45,05 RHS,25,40,,,,,,,,,,Verified,FAIZ,,
,507,N  10572403,TRIPLE SQUARE BOLT,T5-46,05 RHS,25,192,,,,,,,,,,Verified,FAIZ,,
,508,N  91128001,12-POINT SOCKET FL ANGE BOLT,T5-47,05 RHS,25,84,,,,,,,,,,Verified,FAIZ,,
,509,N  10609204,HEXAGON FLANGE NUT,T5-48,05 RHS,25,42,,,,,,,,,,Verified,FAIZ,,
,510,4M0915501E,BATTERY AIR VENT.,T5-49,05 RHS,25,39,6,,,,,,,,,Verified,FAIZ,,
,511,4M0941828J,FUSE HOLDER,T5-53,05 RHS,25,47,,,,,,,,,,Verified,FAIZ,,
,512,N  91042301,HEXALOBULAR SOCKET SCREW WITH FLANGE,T5-52,05 RHS,25,1700,324,,,,,,,,,Verified,FAIZ,,
,513,4K0959663B,TRANSFORMER,T5-50,05 RHS,25,6,6,,,,,,,,,Verified,FAIZ,,
,514,4M0907349C,BRACKET,T5-51,05 RHS,25,24,6,,,,,,,,,Verified,FAIZ,,
,515,5Q0971848C,CABLE HOLDER,GT6-38,6 LHS,26,639,,,,,639,,,,,Verified,Hayati,,
,516,5Q0955443C,BRACKET,GT6-39,6 LHS,26,36,,,,,36,,,,,Verified,Hayati,,
,517,5WA907651,ACCELERATION SENSOR,GT6-06,6 LHS,26,332,,,,,332,,,,,Verified,Hayati,,
,518,N  91096801,HEXALOBULAR SOCKET PAN HEAD SCREW,GT6-10,6 LHS,26,624,,,,,624,,,,,Verified,Hayati,,
,519,5WA971227M,"HARNESS,BATTERY",GT6-29,6 LHS,26,7,10,,,,7,,,,,Verified,Hayati,,10 pcs transit area
,520,5Q0955443D,BRACKET,GT6-40,6 LHS,26,22,,,,,22,,,,,Verified,Hayati,,
,521,3WA907318A,COVER,GT6-33,6 LHS,26,18,,,,,18,,,,,Verified,Hayati,,
,522,5Q0971848B,CABLE HOLDER,GT6-37,6 LHS,26,482,,,,,482,,,,,Verified,Hayati,,
,523,N10009207,HEXAGON HEAD BOLT WITH WASHER,T6-34,6 LHS,26,33,44,,,,33,44,,,,Verified,Hayati,,
,524,05E907309CA,ENGINE CONTROL MODULE,GT6-31,6 LHS,26,5,12,,,,5,,,,,Verified,Hayati,,12 pcs transit area
,525,5WA915443C,BATTERY COVER,GT6-30,6 LHS,26,4,12,,,,4,,,,,Verified,Hayati,,12 pcs transit area
,529,5WA199262AN,ENGINE MOUNT,GT6-03,6 LHS,26,8,,,,,8,,,,,Verified,Hayati,,
,530,5G2815159C,COVER,GT6-12,6 RHS,26,48,,,,,48,,,,,Verified,Hayati,,
,531,5H0959753CCAUD,RADIO REMOTE CONTROL,GT6-28,6 RHS,26,58,,,,,58,,,,,Verified,Hayati,,
,532,N10737001,PREV.TORQUE TYPE HEX.NUT W.FLANGE,GT6-08,6 LHS,26,68,,,,,68,,,,,Verified,Hayati,,
,533,06K907425AA,ENGINE CONTROL MODULE,GT6-24,6 LHS,26,3,,,,,3,,,,,Verified,Hayati,,
,534,3Q0971848,CABLE HOLDER,GT6-27,6 LHS,26,80,,,,,80,,,,,Verified,Hayati,,
,535,N  01508210,HEXAGON FLANGE NUT,GT6-21,6 LHS,26,1405,,,,,1405,,,,,Verified,Hayati,,
,536,N  10451405,HEXALOBULAR SOCKET PAN HEAD SCREW,GT6-18,6 LHS,26,1654,,,,,1654,,,,,Verified,Hayati,,
,537,N  10726401,CLAMPING WASHER,GT6-07,6 LHS,26,5087,,,,,5087,,,,,Verified,Hayati,,
,538,N  90335004,CLAMPING WASHER,GT6-09,6 LHS,26,505,,,,,505,,,,,Verified,Hayati,,
,539,N  10854901,DOUBLE BOLT,GT6-19,6 LHS,26,12,200,,,,12,200,,,,Verified,Hayati,,
,540,N  91204001,HEXAGON FLANGE BOLT,GT6-11,6 LHS,26,187,,,,,187,,,,,Verified,Hayati,,
,541,5Q0971592A,BRACKET,GT6-05,6 LHS,26,161,238,,,,161,,,,,Verified,Hayati,,238pcs transit area
,542,3Q2721615C,SHIELD,GT6-04,6 LHS,26,67,,,,,67,,,,,Verified,Hayati,,
,543,5Q0971890E,CONNECTOR HOLDER,GT6-01,6 LHS,26,63,,,,,63,,,,,Verified,Hayati,,
,544,5Q0815479,INTAKE MANIFOLD,GT6-02,6 LHS,26,1,12,,,,1,12,,,,Verified,Hayati,,
,545,N  10746401,COVER,GT6-20,6 LHS,26,2096,,,,,2096,,,,,Verified,Hayati,,
,546,5WA199262AM,ENGINE MOUNT,GT6-32,6 LHS,26,3,,,,,3,,,,,Verified,Hayati,,
,547,4M0819523A,PLENUM CHAMBER BULKHEAD,T6-39,6 LHS,27,3,,,,,,,,,,Verified,FAIZ,,
,548,4M0864831AD,"TRIM, DASH PANEL",T6-53,6 LHS,27,3,,,,,,,,,,Verified,FAIZ,,
,549,4M0806303H,STRUT,T6-51,6 LHS,27,3,,,,,,,,,,Verified,FAIZ,,
,550,4M281674,REFRIGERANT LINE,T6-20,6 LHS,27,3,,,,,,,,,,Verified,FAIZ,,Actual partno 4M2816740
,551,4M281935,HEATING HOSE,T6-41,6 LHS,27,3,,,,,,,,,,Verified,FAIZ,,Missing 0 at the end part no
,552,4M2819979B,DRIP RAIL,T6-28,6 LHS,27,3,,,,,,,,,,Verified,FAIZ,,
,553,4M0955448C,WASHER FLUID RESERVOIR,T6-30,6 LHS,27,3,,,,,,,,,,Verified,FAIZ,,
,554,4M0816738M,REFRIGERANT PIPE,T6-29,6 LHS,27,3,,,,,,,,,,Verified,FAIZ,,
,555,4M2819904B,AIR INTAKE,T6-24,6 LHS,27,3,,,,,,,,,,Verified,FAIZ,,
,556,4M0825621K,"HEAT SHIELD, CROSS PANEL",T6-55,6 LHS,27,3,,,,,,,,,,Verified,FAIZ,,
,557,4H0907658C,SENSOR,T6-27,6 LHS,28,57,,,,,,,,,,Verified,JJ,,
,558,893971850C,CABLE TIE,T06-35,6 LHS,28,130,,,,,,,,,,Verified,JJ,,
,559,4M2819408A,FOLIAGE GRILLE,T6-26,6 LHS,28,29,0,,,,,,,,,Verified,JJ,,
,560,4M0955667A,TUBE,T6-32,6 LHS,28,39,,,,,,,,,,Verified,JJ,,
,561,4M0819345A,GROMMET,T6-42,6 LHS,28,17,,,,,,,,,,Verified,JJ,,
,562,3V0955235A,CAP,T6-33,6 LHS,28,2,,,,,,,,,,Verified,JJ,,
,564,N  91141501,EXPANSION RIVET,T6-37,6 LHS,28,36,,,,,,,,,,Verified,JJ,,
,565,4H0611743,GROMMET,T6-40,6 LHS,28,79,,,,,,,,,,Verified,JJ,,
,566,N  10653201,HEXAGON FLANGE BOLT,T6-43,6 LHS,28,200,,,,,,,,,,Verified,jj,,
,567,N  90687001,SPRING CLAMP,T6-44,6 LHS,28,813,,,,,,,,,,Verified,jj,,
,568,N  90686901,SPRING CLAMP,T6-48,6 LHS,28,5,,,,,,,,,,Verified,jj,,
,569,N  0195308,HEXAGON FLANGE BOLT,T6-52,6 LHS,28,35,,,,,,,,,,Verified,jj,,
,570,N  90335004,CLAMPING WASHER,T6-54,6 LHS,28,112,,,,,,,,,,Verified,jj,,
,571,N  90708803,SPRING NUT,T6-56,6 LHS,28,22,,,,,,,,,,Verified,jj,,No such stock
,572,4N0907605C,EL.CONTROL UNIT,T6-58,6 LHS,28,22,,,,,,,,,,Verified,jj,,
,573,8K0611797G,BRACKET,T6-14,6 LHS,28,628,,,,,,,,,,Verified,jj,,
,574,4N0959754EG,RADIO TRANSMITTER,T6-60,6 LHS,28,18,,,,,,,,,,Verified,jj,,
,575,4M0819532A,SEAL,T6-38,6 LHS,28,16,,,,,,,,,,Verified,jj,,
,576,4M0819314L,HEATING HOSE,T6-47,6 LHS,28,87,,,,,,,,,,Verified,jj,,
,577,4M0907714,"HOLDER,ELECTR. CONTR.UNIT",T6-59,6 LHS,28,11,60,,,,,,,,,Verified,jj,,60 pcs transit area
,578,N  0200251,STOPPER,T6-1,6 LHS,28,606,,,,,,,,,,Verified,JJ,,
,579,7L0899187,PLUG,T6-2,6 LHS,28,218,62,,,,,,,,,Verified,JJ,,
,580,7L0899188,DRAIN VALVE,T6-3,6 LHS,28,72,,,,,,,,,,Verified,JJ,,
,581,4H0804535,SEALING PART,T6-4,6 LHS,28,263,,,,,,,,,,Verified,JJ,,
,582,8K9955647,WASHER PUMP,T6-31,6 LHS,28,60,,,,,,,,,,Verified,JJ,,
,583,7L0899191,COVER,T6-5,6 LHS,28,10,,,,,,,,,,Verified,JJ,,
,584,7P0899183,PLUG,T6-6,6 LHS,28,49,,,,,,,,,,Verified,JJ,,
,585,191971908E,PLUG,T6-7,6 LHS,28,12,,,,,,,,,,Verified,JJ,,
,586,4M0899187,PLUG,T6-8,6 LHS,28,62,,,,,,,,,,Verified,jj,,
,587,N  10246001,COVER,T6-9,6 LHS,28,52,,,,,,,,,,Verified,JJ,,
,588,4M0899185,PLUG,T6-10,6 LHS,28,172,,,,,,,,,,Verified,JJ,,
,589,N  90860901,COVER,T6-11,6 LHS,28,400,,,,,,,,,,Verified,JJ,,
,590,N  90835705,HEXAGON HEAD BOLT WITH WASHER,T6-13,6 LHS,28,27,,,,,,,,,,Verified,JJ,,
,591,867971908,PLUG,T6-15,6 LHS,28,47,,,,,,,,,,Verified,JJ,,
,592,4M0813583C,PLUG,T6-16,6 LHS,28,12,,,,,,,,,,Verified,JJ,,
,593,4M0201449N,CLAMP,T6-17,6 LHS,28,431,,,,,,,,,,Verified,JJ,,
,594,4Z7721697A,LINE BRACKET,T6-18,6 LHS,28,568,,,,,,,,,,Verified,JJ,,
,595,N  10632102,HEXALOBULAR SOCKET  SCREW WITH FLANGE,T6-22,6 LHS,28,9,,,,,,,,,,Verified,JJ,,
,596,N  01508210,HEXAGON FLANGE NUT,T6-23,6 LHS,28,255,,,,,,,,,,Verified,JJ,,
,597,N  91237801,FLANGE SCREW FOR TP,T6-25,6 LHS,28,142,,,,,,,,,,Verified,JJ,,
,598,4M2816720M,REFRIGERANT LINE,T6-21,6 LHS,28,12,,,,,,,,,,Verified,JJ,,
,599,4M0955462,FILLER NECK,T6-36,6 LHS,28,6,,,,,,,,,,Verified,JJ,,
,601,06M907309F,ENGINE CONTROL MODULE,T6-57,6 LHS,28,5,,,,,,,,,,Verified,JJ,,
,602,5Q0121251HA,RADIATOR,GT8-29,8 LHS,29,4,,,,,,,,,,Verified,SHARIZAL,,
,603,3WA121093H,BRACKET,GT8-40,8 RHS,29,4,,,,,,,,,,Verified,SHARIZAL,,
,604,N  10784701,HEXAGON FLANGE BOLT,GT8-08,8 RHS,29,43,,,,,,,,,,Verified,SHARIZAL,,
,605,N  10784801,HEXAGON FLANGE BOLT,GT8-09,8 RHS,29,78,,,,,,,,,,Verified,SHARIZAL,,
,606,N  90761103,PREV.TORQUE TYPE HEX.NUT W.FLANGE,GT8-34,8 RHS,29,171,,,,,,,,,,Verified,SHARIZAL,,
,607,N  10737001,PREV.TORQUE TYPE HEX.NUT W.FLANGE,GT8-33,8 LHS,29,284,,,,,,,,,,Verified,SHARIZAL,,
,608,N  10471803,FLANGE SCREW FOR TP,GT8-25,8 LHS,29,4231,,,,,,,,,,Verified,SHARIZAL,,
,609,3WA121101A,COOLANT HOSE,GT8-30,8 LHS,29,32,,,,,,,,,,Verified,SHARIZAL,,
,610,3WA121093E,BRACKET,GT8-28,8 LHS,29,0,,,,,,,,,,Counted,,,
,611,3WA121101,COOLANT HOSE,GT8-36,8 RHS,29,32,,,,,,,,,,Verified,SHARIZAL,,
,612,3WA121051A,COOLANT HOSE,GT8-37,8 RHS,29,61,,,,,,,,,,Verified,SHARIZAL,,
,613,3WA121051G,COOLANT HOSE,GT8-31,8 LHS,29,63,,,,,,,,,,Verified,SHARIZAL,,
,614,3WA122101J,COOLANT HOSE,GT8-35,8 RHS,29,40,,,,,,,,,,Verified,SHARIZAL,,
,615,4M0971845CE,BRACKET,T8-43,8 RHS,30,47,,,,,,,,,,Verified,SHARIZAL,,
,616,4M0971845BQ,BRACKET,T8-44,8 RHS,30,50,,,,,,,,,,Verified,SHARIZAL,,
,617,4H0820098,GROMMET,T8-46,8 RHS,30,154,,,,,,,,,,Verified,SHARIZAL,,
,618,N10515101,COVER,T01-07,8 LHS,30,140,,,,,,,,,,Verified,SHARIZAL,,
,619,4M0616013B,VALVE BLOCK,T8-51,8 RHS,30,10,,,,,,,,,,Verified,SHARIZAL,,
,620,N  10721401,FLANGE SCREW FOR TP,T8-52,8 RHS,30,55,,,,,,,,,,Verified,SHARIZAL,,
,621,N  91207001,HEXAGON HEAD BOLT WITH WASHER,T8-53,8 RHS,30,41,,,,,,,,,,Verified,SHARIZAL,,
,623,N  90570805,HEXAGON NUT W. WASHER,T8-54,8 RHS,30,152,,,,,,,,,,Verified,SHARIZAL,,
,624,N  10737001,PREV.TORQUE TYPE HEX.NUT W.FLANGE,T8-60,8 RHS,30,414,,,,,,,,,,Verified,SHARIZAL,,
,625,N  10736701,12-POINT SOCKET FL ANGE BOLT,T8-65,8 RHS,30,37,,,,,,,,,,Verified,SHARIZAL,,
,626,N  91042301,HEXALOBULAR SOCKET SCREW WITH FLANGE,T8-66,8 RHS,30,1507,,,,,,,,,,Verified,SHARIZAL,,
,627,N  90757901,HEX.NUT,T8-67,8 RHS,30,368,,,,,,,,,,Verified,SHARIZAL,,
,628,443809948,CLIP,T8-68,8 RHS,30,125,,,,,,,,,,Verified,SHARIZAL,,
,629,4M0616091G,INTAKE HOSE,T8-55,8 RHS,30,12,,,,,,,,,,Verified,SHARIZAL,,
,630,4M0201997G,VENT LINE,T8-58,8 RHS,30,6,,,,,,,,,,Verified,SHARIZAL,,
,631,4M0201192K,COVER,T8-59,8 RHS,30,19,,,,,,,,,,Verified,SHARIZAL,,
,632,4M0616005H,AIR SUPPLY,T8-50,8 RHS,30,2,2,,,,,,,,,Verified,SHARIZAL,,6 pcs transit area
,633,4M0407510F,"CONTROL ARM,REAR",T8-63,8 RHS,30,6,,,,,,,,,,Verified,SHARIZAL,,
,634,4M0407506F,"CONTROL ARM,FRONT UPPER",T8-61,8 RHS,30,6,,,,,,,,,,Verified,SHARIZAL,,
,636,N  10784701,HEXAGON FLANGE BOLT,GT8-08,8 RHS,31,70,,,,,,,,,,Verified,SHARIZAL,,
,637,N  91066101,HEXAGON FLANGE SCREW W.WASHER,GT8-23,8 RHS,31,218,,,,,,,,,,Verified,SHARIZAL,,
,638,N91167101,HEXAGON FLANGE SCREW W.WASHER,GT8-24,8 RHS,31,77,,,,,,,,,,Verified,SHARIZAL,,
,639,N  10115101,COVER,GT8-07,8 RHS,31,459,,,,,,,,,,Verified,SHARIZAL,,
,640,N  10746401,COVER,GT8-15,8 RHS,31,17,,,,,,,,,,Verified,SHARIZAL,,
,641,N  10552404,HEXAGON FLANGE BOLT,GT8-12,8 RHS,31,61,,,,,,,,,,Verified,SHARIZAL,,
,642,N  10785401,HEXAGON FLANGE SCREW W.WASHER,GT8-13,8 RHS,31,85,85,,,,,,,,,Verified,SHARIZAL,,
,643,5Q0906407,BRACKET,GT8-19,8 RHS,31,293,,,,,,,,,,Verified,SHARIZAL,,
,644,N  0195307,HEXAGON FLANGE BOL T,GT9-38,8 RHS,31,321,500,500,,,,,,,,Verified,SHARIZAL,,1000 pcs transit area
,645,N  90648402,HEXAGON FLANGE SCREW W.WASHER,GT8-17,8 RHS,31,309,,,,,,,,,,Verified,SHARIZAL,,
,646,N  91246401,HEXAGON HEAD BOLT WITH WASHER,GT8-16,8 RHS,31,804,,,,,,,,,,Verified,SHARIZAL,,
,647,N  91133501,HEXAGON HEAD BOLT WITH WASHER,GT8-14,8 RHS,31,639,,,,,,,,,,Verified,SHARIZAL,,
,648,N  10854801,DOUBLE BOLT,GT8-10,8 RHS,31,132,,,,,,,,,,Verified,SHARIZAL,,
,649,N  90694901,COVER,GT8-02,8 RHS,31,106,,,,,,,,,,Verified,SHARIZAL,,
,650,N  10784801,HEXAGON FLANGE BOLT,GT8-09,8 RHS,31,14,155,,,,,,,,,Verified,SHARIZAL,,
,651,N  90693804,HEXAGON HEAD BOLT WITH WASHER,GT8-11,8 RHS,31,630,,,,,,,,,,Verified,SHARIZAL,,
,652,N 91229601,#N/A,#N/A,8 RHS,31,87,,,,,,,,,,Verified,SHARIZAL,,
,653,N  91135501,COVER,GT8-18,8 RHS,31,2275,,,,,,,,,,Verified,SHARIZAL,,
,654,5QF971830A,"BRACKET,PLUG",GT8-20,8 LHS,31,96,,,,,,,,,,Verified,SHARIZAL,,
,655,N10628101,COVER,GT8-03,8 LHS,31,420,,,,,,,,,,Verified,SHARIZAL,,
,656,5Q0501733A,SHIELD,GT8-04,8 RHS,31,11,,,,,,,,,,Verified,SHARIZAL,,
,657,5Q0501734A,SHIELD,GT8-05,8 RHS,31,9,,,,,,,,,,Verified,SHARIZAL,,
,658,5WA915331B,BATTERY TRAY,GT8-06,8 RHS,31,6,,,,,,,,,,Verified,SHARIZAL,,
,659,N  10272302,PREV.TORQUE TYPE HEX.NUT W.FLANGE,T8-23,8 LHS,32,29,,,,,,,,,,Verified,SHARIZAL,,
,660,4M0820769H,BRACKET,T8-5,8 LHS,32,43,,,,,,,,,,Verified,SHARIZAL,,
,661,N  10773901,HEXAGON FLANGE BOLT,T8-25,8 LHS,32,36,,,,,,,,,,Verified,SHARIZAL,,
,662,N  10759101,HEXAGON FLANGE BOL T,T8-26,8 LHS,32,84,,,,,,,,,,Verified,SHARIZAL,,
,663,N  90335004,CLAMPING WASHER,T8-28,8 LHS,32,373,,,,,,,,,,Verified,SHARIZAL,,
,664,N0150821,HEXAGON FLANGE NUT,T6-23,8 LHS,32,18,,,,,,,,,,Verified,SHARIZAL,,
,665,N  90708803,SPRING NUT,T6-56,8 LHS,32,237,,,,,,,,,,Verified,SHARIZAL,,
,666,4M0713850A,BRACKET,T8-37,8 LHS,32,100,,,,,,,,,,Verified,SHARIZAL,,
,667,N  91260301,HEXAGON FLANGE SCREW W.WASHER,T8-42,8 LHS,32,153,,,,,,,,,,Verified,SHARIZAL,,
,668,N  90686901,SPRING CLAMP,T8-47,8 LHS,32,0,,,,,,,,,,Counted,,,no box on the rack
,669,N  90856802,BLIND RIVET NUT,T8-57,8 LHS,32,35,,,,,,,,,,Verified,SHARIZAL,,
,670,WHT008002,COVER,T03-13,3 LHS,32,48,,,,,,,,,,Verified,SHARIZAL,,
,671,N90714303,HEXAGON NUT W. WASHER,T01-14,8 RHS,32,180,,,,,,,,,,Verified,SHARIZAL,,
,672,4M2825644D,"HEAT SHIELD, SIDE MEMBER",T8-39,8 LHS,32,18,,,,,,,,,,Verified,SHARIZAL,,
,673,N  90495301,HEX.NUT,T8-8,8 LHS,32,45,,,,,,,,,,Verified,SHARIZAL,,
,674,4M2825643H,"HEAT SHIELD, SIDE MEMBER",T8-40,8 LHS,32,19,,,,,,,,,,Verified,SHARIZAL,,
,675,N  90887703,PREV.TORQUE TYPE HEX.NUT W.FLANGE,T8-6,8 LHS,32,22,,,,,,,,,,Verified,SHARIZAL,,
,676,4M0121485BQ,COOLANT PIPE,T8-41,8 LHS,32,49,,,,,,,,,,Verified,SHARIZAL,,
,677,N  10632102,HEXALOBULAR SOCKET  SCREW WITH FLANGE,T8-14,8 LHS,32,0,,,,,,,,,,Counted,,,
,678,4M0825725D,"HEAT SHIELD,TRUNK FLOOR PANEL",T8-35,8 LHS,32,21,,,,,,,,,,Verified,SHARIZAL,,
,679,1J0611853,LINE BRACKET,T8-4,8 LHS,32,222,225,,,,,,,,,Verified,SHARIZAL,,
,680,4M0505563F,MASS DAMPER,T8-24,8 LHS,32,3,5,,,,,,,,,Verified,SHARIZAL,,
,681,1K0611853,LINE BRACKET,T8-3,8 LHS,32,183,,,,,,,,,,Verified,SHARIZAL,,
,682,4M0820769E,BRACKET,T8-7,8 LHS,32,9,,,,,,,,,,Verified,SHARIZAL,,
,683,4M0825691H,"HEAT SHIELDING, TUNNEL,REAR",T8-32,8 LHS,32,17,,,,,,,,,,Verified,SHARIZAL,,
,684,4H0260759E,BRACKET,T8-9,8 LHS,32,10,,,,,,,,,,Verified,SHARIZAL,,
,685,N  10582103,HEXALOBULAR SOCKET PAN HEAD SCREW,T8-10,8 LHS,32,44,,,,,,,,,,Verified,SHARIZAL,,
,686,8D0201441C,HEXAGON NUT,T8-11,8 LHS,32,7,44,,,,,,,,,Verified,SHARIZAL,,44 pcs transit area
,687,4M0820251B,RETAINING TAB,T8-12,8 LHS,32,47,,,,,,,,,,Verified,SHARIZAL,,
,688,4M0407505F,"CONTROL ARM,FRONT UPPER",T8-16,8 LHS,32,6,,,,,,,,,,Verified,SHARIZAL,,
,689,4M0407509F,"CONTROL ARM,REAR",T8-19,8 LHS,32,6,,,,,,,,,,Verified,SHARIZAL,,
,690,WHT006542,HEXAGON FLANGE BOL T,T8-22,8 LHS,32,74,150,,,,,,,,,Verified,SHARIZAL,,150 pcs transit area
,691,N  91222501,HEXAGON FLANGE SCREW W.WASHER,T8-21,8 LHS,32,173,,,,,,,,,,Verified,SHARIZAL,,
,692,N  10609201,HEXAGON FLANGE NUT,T8-13,8 LHS,32,801,,,,,,,,,,Verified,SHARIZAL,,
,693,6Q0611797L,BRACKET,T8-15,8 LHS,32,150,,,,,,,,,,Verified,SHARIZAL,,
,694,N  91221601,HEXAGON FLANGE SCREW W.WASHER,T8-18,8 LHS,32,194,,,,,,,,,,Verified,SHARIZAL,,
,695,C0867207,CLIP,GT9-47,9 RHS,33,720,,,,,,,,,,Verified,HAKAM,,
,696,N  90871301,BUTTON,GT9-57,9 RHS,33,656,,,,,,,,,,Verified,HAKAM,,
,697,WHT008715,HEXALOBULAR SOCKET SCREW WITH FLANGE,GT9-58,9 RHS,33,733,,,,,,,,,,Verified,HAKAM,,
,698,WHT002258,PREV.TORQUE HEX. CLAMP NUT W.WASHER,GT9-60,9 RHS,33,72,,,,,,,,,,Verified,HAKAM,,
,699,N  10240003,HEXAGON FLANGE BOL T,GT9-39,9 RHS,33,421,,,,,,,,,,Verified,HAKAM,,
,700,N  10746401,COVER,GT9-59,9 RHS,33,68,,,,,,,,,,Verified,HAKAM,,
,701,5WA201801,ACTIVATED CARBON CANISTER,GT9-45,9 RHS,33,41,,,,,,,,,,Verified,HAKAM,,
,702,518823633B,MOUNTING BRACKET,GT9-40,9 RHS,33,38,,,,,,,,,,Verified,HAKAM,,
,703,5NA809937A,HOSE,GT9-44,9 RHS,33,256,,,,,,,,,,Verified,HAKAM,,
,704,5H0809857D,FUEL FILLER DOOR MODULE,GT9-41,9 RHS,33,6,6,6,6,,,,,,,Verified,HAKAM,,
,705,5H2823533  4PK,OPERATING LEVER,GT9-65,9 RHS,33,66,,,,,,,,,,Verified,HAKAM,,
,706,N  10569501,HEXALOBULAR SOCKET FLANGE BOLT,GT9-76,9 LHS,34,157,,,,,,,,,,Verified,HAKAM,,
,707,N  10653301,HEXAGON FLANGE BOLT,GT9-72,9 LHS,34,459,,,,,,,,,,Verified,HAKAM,,
,708,5WA971244C,GROUND STRAP,GT9-73,9 LHS,34,2,,,,,,,,,,Verified,HAKAM,,
,709,5WA971336,BRACKET,GT9-71,9 LHS,34,101,,,,,,,,,,Verified,HAKAM,,
,710,N0206015,RETAINING CLAMP,GT9-74,9 LHS,34,232,,,,,,,,,,Verified,HAKAM,,
,711,N90686901,SPRING CLAMP,GT9-78,9 LHS,34,40,,,,,,,,,,Verified,HAKAM,,
,714,5QS971920,PROTECTIVE CAP,GT9-75,9 LHS,34,231,,,,,,,,,,Verified,HAKAM,,
,715,5H0121333,AIR DEFLECTOR,GT9-79,9 LHS,34,9,8,,,,,,,,,Verified,HAKAM,,
,716,5H0121334A,AIR DEFLECTOR,GT9-80,9 LHS,34,9,8,,,,,,,,,Verified,HAKAM,,
,717,5WA962133G,ANTENNA,GT9-70,9 RHS,34,48,15,,,,48,15,,,,Verified,HAKAM,,
,718,5Q0919237  WGI,"SWITCH,AIRBAG",GT9-64,9 RHS,34,3,89,,,,,,,,,Verified,HAKAM,,
,719,N  01033513,HEXAGON HEAD BOLT,GT9-49,9 RHS,34,41,794,,,,,,,,,Verified,HAKAM,,
,720,N 0195307,HEXAGON FLANGE BOL T,GT9-38,9 RHS,34,80,500,500,,,,,,,,Verified,HAKAM,,
,721,5H2858218A 4PK,END PLATE,GT9-69,9 RHS,34,26,,,,,,,,,,Verified,HAKAM,,
,722,5H2858217A 4PK,END PLATE,GT9-68,9 RHS,34,26,,,,,,,,,,Verified,HAKAM,,
,723,5H0868223B 4PK,LINING,GT9-66,9 RHS,34,22,,,,,,,,,,Verified,HAKAM,,
,724,5H0868224B 4PK,LINING,GT9-67,9 RHS,34,21,,,,,,,,,,Verified,HAKAM,,
,725,4M0121081F,COOLANT HOSE,T9-29,9 LHS,35,4,44,,,,,,,,,Verified,HAKAM,,
,726,N  10843101,SWIVEL-TYPE OMEGA CLIP,T9-30,9 LHS,35,9,39,,,,,,,,,Verified,HAKAM,,
,727,4M0201215AB,FUEL SUPPLY LINE,T9-31,9 LHS,35,29,,,,,,,,,,Verified,HAKAM,,
,728,4B0422379,SPRING CLAMP,T9-32,9 LHS,35,18,,,,,,,,,,Verified,HAKAM,,
,729,N  90926401,SPRING CLAMP,T9-33,9 LHS,35,44,,,,,,,,,,Verified,HAKAM,,
,730,4M0145737AS,PRESSURE HOSE,T9-39,9 LHS,35,9,,,,,,,,,,Verified,HAKAM,,
,731,N  90993603,HEXALOBULAR SOCKET SCREW W.WASHER,T9-38,9 LHS,35,15,,,,,,,,,,Verified,HAKAM,,
